id,name,SSN,date,loan_amt,amt_due,amt_paid,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
1,Sonia Mcguire,349-903-880,07-07-2017,42000,55544,55544,05,29,1,3,39681.066,39414.203,2,601,50900,18200,6.4699998,214181
2,Donald Rice,733-480-828,06-01-2017,42200,55809,55809,04,28,1,2,41412.906,21278.52,0,559,47800,162000,6.2800002,180172
3,Ida Cobb,133-150-086,07-06-2017,42900,56735,56735,01,42,1,3,46398.301,59196.785,0,704,48100,109700,6.3899999,207219
4,Eugene Ray,090-877-844,03-02-2017,43000,56867,56867,03,28,1,2,50016.281,18374.684,1,593,36900,78300,7.4400001,190665
5,Vernon Clark,239-205-404,07-07-2017,43000,56867,56867,04,31,0,2,49169.051,50717.055,0,657,27300,22900,6.8200002,176153
6,Cesar Johnson,218-191-649,06-06-2017,43000,56867,56867,01,41,0,2,46904.211,24182.896,0,694,61800,0,6.6599998,207731
7,Joy Webb,053-929-132,07-04-2017,46300,61231,61231,04,40,0,2,68413.531,53097.457,0,737,44500,16700,7.02,179031
8,Victor Hamilton,577-730-769,04-07-2017,42600,56338,56338,04,41,0,2,45111.68,43852.035,0,659,52300,0,6.8099999,177100
9,Kristine Barker,206-567-219,06-04-2017,42800,56602,30320,05,31,1,2,50625.207,88119.656,2,596,25100,0,7.0300002,196576
10,Seth Schwartz,495-214-612,07-04-2017,42800,56602,56602,05,32,1,2,49378.27,56732.203,2,600,49200,0,6.8400002,176106
11,Clifford May,037-957-079,05-05-2017,42700,56470,56470,02,41,0,1,19824.313,1299.0262,0,593,45200,117300,5.9899998,181744
12,Bobbie Patton,132-591-374,07-02-2017,42400,56073,56073,02,26,0,2,42577.828,56682.168,0,590,46900,56300,6.3899999,192694
13,Charlene Edwards,449-503-111,05-06-2017,42200,55809,25250,04,35,1,2,36561.902,27738.432,3,595,52100,0,6.1900001,195666
14,Genevieve Greer,396-794-475,05-02-2017,42600,56338,24742,04,32,0,2,46408.191,23209.674,0,597,38000,123600,6.0999999,160505
15,Kenny Gonzales,243-799-911,05-01-2017,45000,59512,20805,01,40,1,1,18888.26,26044.016,0,570,41700,1500,6.1199999,189956
16,Lydia Frank,639-639-169,06-03-2017,43200,57131,29488,01,29,1,2,53067.137,39763.5,3,636,55900,0,6.6199999,175867
17,Kathleen Manning,952-204-777,04-03-2017,41800,55280,21995,05,30,1,3,32442.615,44606.379,0,567,41000,0,6.4699998,192791
18,Cornelius Spencer,720-035-319,03-01-2017,42300,55941,28688,02,36,0,2,40353.18,22578.209,0,630,39700,0,7.4400001,186587
19,Lucy Dixon,760-142-712,06-03-2017,43000,56867,19531,04,31,1,3,20529.828,24947.162,1,534,27000,39700,7.0300002,172445
20,Peter Leonard,642-053-096,07-03-2017,51700,68373,23124,01,38,0,2,4674.1846,6480.2241,0,538,33900,85200,6.5300002,199759
21,Beatrice Hodges,305-585-610,04-03-2017,54400,71943,57634,03,33,0,3,88197.25,77515.047,0,755,47800,146400,6.4099998,177913
22,Don Wagner,536-745-347,07-04-2017,42200,55809,55809,02,41,1,2,39376.75,52062.211,0,655,56000,0,6.6300001,210954
23,Fred Peters,757-658-650,05-07-2017,42200,55809,19194,05,39,0,2,30470.301,26255.172,0,580,37300,0,6.0999999,176552
24,Maxine Warner,278-483-539,05-07-2017,43400,57396,27273,02,36,0,2,50730.207,33085.828,0,629,37900,47800,6.0300002,165454
25,Jessica Wong,205-784-292,05-03-2017,41300,54619,19596,01,34,1,2,22783.516,39633.707,0,583,54000,94800,6.02,208976
26,George Valdez,508-404-520,09-03-2017,41300,54619,54619,05,38,0,2,31944.336,49090.039,0,620,43100,130000,5.9099998,191973
27,Bradley Farmer,553-785-486,03-02-2017,43300,57264,33673,03,41,1,2,50876.762,51949.859,0,683,42000,44500,7.0999999,211244
28,Eddie Morrison,172-953-552,07-07-2017,42900,56735,56735,05,32,1,2,85228.234,91955.234,0,710,49700,0,6.3600001,221505
29,Edwin Sanders,379-273-355,04-06-2017,42100,55677,25381,02,31,0,2,36366.203,22458.967,0,585,41100,11600,6.29,190530
30,Sara Walters,076-799-773,08-02-2017,43200,57131,57131,03,40,1,2,61614.789,52771.949,2,726,57000,9900,6.0999999,168945
31,Toby Myers,779-905-666,06-02-2017,41800,55280,19921,01,30,1,2,11900.725,0,0,535,46400,0,6.5300002,194056
32,Rufus Morton,572-232-873,07-02-2017,43100,56999,32258,02,33,1,3,48919.656,12189.999,3,645,36100,0,6.6100001,204270
33,Barry Simpson,560-068-474,08-07-2017,42800,56602,56602,01,33,1,2,45185.621,52952.297,3,635,41600,27500,6.1399999,159302
34,Freddie Ballard,158-476-413,04-02-2017,45000,59512,59512,05,33,0,2,69827.164,54806.363,0,678,54800,0,6.3699999,192319
35,Wendell Hogan,446-276-085,07-02-2017,48100,63612,63612,02,31,1,3,77287.688,61127.121,1,682,36600,90400,6.77,203997
36,Evan Rivera,415-477-201,05-03-2017,42400,56073,56073,04,31,1,3,27683.311,37271.625,1,607,57000,0,6.4400001,176693
37,Shane Aguilar,012-382-335,08-06-2017,42700,56470,24976,04,25,0,2,47125.527,69493.672,0,522,57100,0,6.4000001,188611
38,Joel Gordon,420-820-408,03-02-2017,43500,57528,20365,05,30,0,2,18422.41,21825.004,0,502,59000,91500,7.3600001,188594
39,Emilio Glover,657-778-525,05-01-2017,42600,56338,31129,02,40,1,2,43331.602,57703.215,2,675,55300,0,6.0900002,189560
40,Chris Joseph,095-955-502,04-04-2017,42600,56338,24692,04,37,1,2,46271.957,71971.211,0,653,38400,0,6.1300001,206764
41,Dora Dawson,650-417-349,10-05-2017,42100,55677,55677,04,36,1,2,38441.551,24960.248,3,595,49200,110800,5.6799998,186193
42,Andres French,550-492-111,06-03-2017,47000,62157,20709,04,35,0,2,8048.4097,10625.847,0,541,52100,0,6.8800001,168695
43,Eileen Bell,143-772-813,07-02-2017,42200,55809,28135,03,43,1,2,31560.953,57805.199,1,635,26700,196700,6.4499998,187287
44,Patsy Norman,987-253-067,05-03-2017,42900,56735,26491,05,34,1,2,49989.902,41314.918,0,599,37000,0,6.3200002,209209
45,Rosemary Freeman,656-767-040,05-06-2017,43200,57131,20610,03,41,1,2,25079.266,54182.035,0,577,62700,0,6.4200001,187149
46,Johnny Gross,216-305-493,06-07-2017,43600,57660,57660,05,36,0,2,57153.262,29331.523,0,667,40900,0,6.5,189991
47,Roderick Pratt,148-531-806,08-05-2017,42200,55809,21714,02,27,0,2,29508.125,26366.613,0,551,30000,0,5.98,201209
48,Ruth Flores,216-385-697,07-07-2017,43000,56867,16412,03,27,1,1,12484.554,14585.694,1,468,34300,0,6.5900002,204025
49,Elaine Lamb,114-239-840,09-02-2017,42200,55809,55809,03,37,1,2,39915.637,54333.066,2,609,43100,120000,5.4699998,189114
50,Aubrey Higgins,413-398-116,03-03-2017,42400,56073,29124,03,32,1,2,42833.328,54944.648,2,584,47700,0,6.9400001,197287
51,Dallas Jimenez,425-580-307,05-06-2017,46600,61628,38189,05,34,1,3,71184.148,87286.094,0,705,59500,249100,6.2600002,183454
52,Wade Mathis,469-737-907,06-02-2017,44300,58586,16186,02,31,0,2,1604.0828,4135.9341,0,513,54400,0,6.5100002,218043
53,Kendra Ruiz,921-570-152,08-01-2017,41400,54751,21538,02,40,1,2,28182.328,31063.145,1,610,44800,0,6.46,223996
54,Jeff Walsh,302-684-759,06-04-2017,46700,61760,42708,01,37,0,2,68986.656,61889.285,0,714,37400,10700,6.48,212382
55,Philip Castillo,894-368-171,11-01-2017,43100,56999,20649,03,37,0,2,25632.291,41491.918,0,587,45200,0,6.3699999,163217
56,Cecil Taylor,451-983-352,07-06-2017,48600,64273,64273,04,27,1,2,73474.344,57177.809,1,611,39300,0,6.3200002,195081
57,Constance Ryan,570-465-638,06-07-2017,41900,55412,28037,05,35,1,2,38882.813,37295.113,0,617,38400,74800,6.9200001,197359
58,Ray Potter,045-285-433,07-03-2017,42300,55941,55941,03,37,1,2,40848.082,41338.531,3,617,47000,0,6.6300001,175067
59,Edward Fox,589-865-116,05-06-2017,43600,57660,57660,05,36,0,2,25163.986,17561.877,0,572,39500,63200,6.1399999,182298
60,Theresa Miller,814-589-617,06-04-2017,42500,56206,35007,01,37,0,3,42435.223,31572.748,0,672,57700,14800,6.4899998,214346
61,Hugh Lawson,120-126-334,07-04-2017,45600,60305,60305,01,32,1,2,69552.398,71122.391,2,688,42700,202400,6.6300001,173132
