id,name,SSN,date,loan_amt,amt_due,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
251,Jim Roy,496-390-323,05-06-2018,42700,56470,02,36,0,2,45392.93,65214.035,0,624,42400,0,6.29,187718
252,Freddie Reeves,452-982-411,05-05-2018,45700,60438,05,33,1,2,68857.344,69345.031,0,697,45300,0,6.2600002,166974
253,Lucille Warner,764-816-694,04-01-2018,42800,56602,02,31,1,2,45742.699,46751.859,2,585,43700,175400,6.27,222792
254,Jodi Morrison,793-923-739,06-02-2018,42900,56735,05,30,1,2,48949.273,50628.828,3,634,57500,17400,6.3699999,193733
255,Beverly Lynch,962-319-889,04-05-2018,45400,60041,04,32,0,3,67290.602,63958.145,0,668,47400,41600,6.3899999,207308
256,Jo Norman,715-585-733,08-07-2018,45500,60173,03,42,1,1,66615.461,85814.766,2,735,32600,17800,6.6199999,179258
257,Mike Simon,681-546-029,08-02-2018,43800,57925,02,40,0,2,53567.164,66090.484,0,703,43600,0,6.3899999,182126
258,Rex Nichols,482-650-075,05-01-2018,43700,57793,04,40,1,2,17193.354,56087.508,3,540,37500,0,6.4400001,178216
259,Betty Harrington,308-244-098,06-03-2018,41700,55148,04,38,1,2,16858.033,0,0,537,50300,0,6.7600002,196778
260,Bradley Pratt,634-750-355,07-03-2018,44000,58189,01,38,0,2,57715.93,35311.395,0,712,60000,0,6.3899999,189117
261,Eric Casey,061-073-327,01-04-2018,43100,56999,04,30,0,2,51464.941,48006.551,0,646,39000,0,7.6399999,183442
262,Alexandra Underwood,849-566-714,04-05-2018,47400,62686,01,25,0,2,8738.4854,0,0,563,44100,0,6.46,183830
263,Felix Webster,419-315-293,05-05-2018,42900,56735,04,32,0,3,29174.197,21123.854,0,552,61000,0,6.46,199814
264,Moses Young,274-830-585,06-03-2018,41900,55412,03,39,1,2,31084.354,42381.719,0,620,54000,0,6.6300001,176854
265,Lillie Conner,643-811-305,08-01-2018,45100,59644,01,27,0,3,73274.344,98738.711,0,665,47600,0,6.3699999,194167
266,Abraham Malone,387-391-277,08-03-2018,45000,59512,03,37,1,3,75885.352,88574.914,3,713,51300,0,6.2199998,215445
267,Dwight Johnson,772-687-196,05-01-2018,41700,55148,04,33,1,2,30899.619,44833.418,0,574,35300,0,6.1300001,213483
